Pelipper | PepperBird
Roaring Moon | UtakeDAmoon!
Ting-Lu | Big-Lu
Tsareena | YOU'RE QUEEN
Gyarados | GyaraDON'T
Gholdengo | G Holden GO
Roaring Moon | UtakeDAmoon!
Dachsbun | Laika
Chi-Yu | Hotdog
Torkoal | Sun Tzu
Flutter Mane | Maya Fey
Flutter Mane | Flutta Mane
Arcanine | Dog
Lycanroc | doggy
Medicham | Medichamp
Dondozo | DonBOZO
Bronzong | 梵鐘
Annihilape | 怨嗟の鬼
Ting-Lu | マンモス
Rotom | 雷の逆転
Tsareena | YOU'RE QUEEN
Gyarados | GyaraDON'T
Gholdengo | G Holden GO
Roaring Moon | UtakeDAmoon!
Bronzong | 梵鐘
Annihilape | 怨嗟の鬼
Ting-Lu | マンモス
Rotom | 雷の逆転
Flutter Mane | Miku
Houndoom | Itchika
Toedscruel | Raia
Dondozo | Rena
Palafin | Beluga
Arcanine | Flower
Amoonguss | Imposter
Dragonite | Fweind
Flutter Mane | Bottas
Chi-Yu | Hanako
Dondozo | Chonkster
Tatsugiri | Pogsukiri
Murkrow | Mafia
Flutter Mane | Mischief
Ting-Lu | Bowlhead
Breloom | Tattisaurus
Chien-Pao | Nivalis
Chi-Yu | Hanako
Chien-Pao | Frankie heffley
Ceruledge | King dice
Ting-Lu | Bowling bowl
Dragapult | Meggy
Quaquaval | tonin a cicogn
Chien-Pao | Don Ciro
Garganacl | CoffeeCube
Great Tusk | Curvedbeast
Murkrow | Fool
Meowscarada | Magic Mike
Dragapult | Toothless
Torkoal | Abrams
Garganacl | CoffeeCube
Great Tusk | Curvedbeast
Murkrow | Fool
Dachsbun | Hot Loaf
Chi-Yu | Smoked fillet
Iron Hands | Mustard
Garchomp | CHILENO
Amoonguss | ZASKO
Arcanine | CHOP
Flutter Mane | ESPINETE
Ting-Lu | funny croc
Palafin | body of ruin
Chi-Yu | lapulapu
Flutter Mane | jesus christ
Chien-Pao | Tiger Piss
Palafin | Superman
Ceruledge | Meta Knight
Iron Hands | Suumo
Torkoal | Abrams
Great Tusk | Curvedbeast
Chi-Yu | MITTERNACHT
Torkoal | M FOR LOVE
Great Tusk | N FOR HATE
Roaring Moon | YOGONE2798
Chien-Pao | Tiger Piss
Palafin | Superman
Flutter Mane | Pearl Necklace >
Iron Hands | Suumo
Torkoal | Abrams
Garganacl | CoffeeCube
Great Tusk | Curvedbeast
Murkrow | Fool
Murkrow | Mafia
Flutter Mane | Mischief
Ting-Lu | Bowlhead
Chien-Pao | Tiger Piss
Flutter Mane | Pearl Necklace >
Iron Hands | Suumo
Flutter Mane | A Bad Hair Day
Murkrow | Tweak or Tweet
Arcanine | Bork
Flutter Mane | A Bad Hair Day
Chi-Yu | 金魚
Annihilape | To Mad to Live
Flutter Mane | Ghost pepper
Baxcalibur | Popsicle
Chi-Yu | Smoked fillet
Iron Hands | Mustard
Glimmora | Germe Haine
Sylveon | Paillette
Tatsugiri | Isoruko
Lilligant | MUY
Torkoal | ALE
Flutter Mane | MALO
Kingambit | HOT
Flutter Mane | Santiago
Kingambit | Peralta
Iron Bundle | Boyle
Great Tusk | Scully
Flutter Mane | Karina
Iron Bundle | Delibot
Dudunsparce | RNGesus
Maushold | Squeak Squad
Dragapult | Dnite
Amoonguss | WoChien
Arcanine | ChiYu
Arcanine | Timon
Vivillon | Anavae
Volcarona | Iris
Slither Wing | Mondo Drag
Masquerain | Oasis
Meowscarada | Meow the Scarada
Crabominable | Billy
Baxcalibur | Zillagod
Meowscarada | Meow the Scarada
Crabominable | Billy
Amoonguss | Leader
Baxcalibur | Zillagod
Flutter Mane | Flutter Mango
Glimmora | Glimmousse
Gyarados | Gyaradosa
Chi-Yu | Chi-Yuzu
Flutter Mane | Rouge
Chi-Yu | Wreckingball
Iron Bundle | Glitch
Meowscarada | Meow the Scarada
Crabominable | Billy
Corviknight | birb
Great Tusk | elephante
Eelektross | immune
Palafin | birb
Ting-Lu | Cereal
Eiscue | DanoninhoIce
Abomasnow | Abominavel
Iron Bundle | MrRobot
Bellibolt | Nhonho
Spiritomb | Orbit
Iron Hands | Everybody Clap
Amoonguss | *Sigh* Amo-
Torkoal | Alt+F4
Flutter Mane | Zalera
Chi-Yu | Lamia
Iron Hands | Grabby Gabby
Palafin | Aquaman
Flutter Mane | Casper
Iron Hands | Sumo
Bellibolt | 奇樹蛙蛙
Wo-Chien | 小蝸
Arcanine | 大狗狗
Baxcalibur | 巨神兵
Pelipper | PeliHan
Dragonite | GoGonite
Drednaw | GoNaw
Ceruledge | Curry muncher
Flutter Mane | Niger
Espathra | Border hopper
Sandy Shocks | Ching chong
Baxcalibur | Glacius
Flutter Mane | Rouge
Chi-Yu | Wreckingball
Iron Bundle | Glitch
Tatsugiri | Dumb
Dondozo | Dumber
Chi-Yu | Glass Animal
Iron Bundle | Iron Baller
Garchomp | kalise
Talonflame | hola.
Chien-Pao | FLASH 2.0
Dachsbun | Apetinitas
Torkoal | Breakthrough
Flutter Mane | FANCY
Kingambit | HOT
Great Tusk | Trouble
Iron Bundle | JH de la Cruz
Baxcalibur | Glacius
Flutter Mane | Rouge
Iron Bundle | Glitch
Arcanine | K-9
Iron Jugulis | Whaaaaaat.
Garchomp | Dommy Mommy
Amoonguss | MW-Cookie
Arcanine | MW-彥佑
Palafin | MW-Yee祥
Flutter Mane | MW-Boomer
Iron Jugulis | Whaaaaaat.
Garchomp | Dommy Mommy
Chien-Pao | Tara
Ting-Lu | KILL.
Glimmora | Sulfera
Baxcalibur | King Arthur
Eiscue | DanoninhoIce
Abomasnow | Abominavel
Bellibolt | Nhonho
Baxcalibur | Little Foot
Arboliva | Need More Thyme
Chi-Yu | Goldfish
Dachsbun | Honey Buns
Breloom | Tattisaurus
Chien-Pao | Nivalis
Flutter Mane | Bottas
Chi-Yu | Hanako
Bellibolt | 奇樹蛙蛙
Scizor | 機甲戰神
Flutter Mane | 振翼手龍
Baxcalibur | 巨神兵
Garchomp | Raiden
Amoonguss | The Funni
Iron Jugulis | Ghidorah
Chi-Yu | Spicy Nemo
Bellibolt | 奇樹蛙蛙
Scizor | 機甲戰神
Flutter Mane | 振翼手龍
Baxcalibur | 巨神兵
Baxcalibur | Glacius
Flutter Mane | Rouge
Arcanine | K-9
Palafin | Dozo
Chien-Pao | Bundle
Amoonguss | WoChien
Arcanine | ChiYu
Baxcalibur | Brrr
Flutter Mane | Saweetie
Amoonguss | UwU
Kingambit | Grusha
Tyranitar | Malus
Lycanroc | Roxie
Ting-Lu | Su Novio
Flutter Mane | Mimi
Eiscue | DanoninhoIce
Abomasnow | Abominavel
Bellibolt | Nhonho
Annihilape | SoAngryItDed
Farigiraf | Fridge Giraffe
Arboliva | Majaré
Glimmora | GurrenLagan
Garchomp | Vorkath
Tatsugiri | 基拉大和
Gholdengo | 富哥
Dragonite | 肥大
Gardevoir | 沙夜兽
Grimmsnarl | Mr.Grim
Dragapult | Father to two
Palafin | Kunigami
Klefki | Euphoria
Abomasnow | cicle
Iron Hands | Functional
Dragapult | pulty
Talonflame | Rodan
Baxcalibur | T. Gojira
Corviknight | Gigan
Flutter Mane | Shobijin
Baxcalibur | Glacius
Flutter Mane | Rouge
Chi-Yu | Wreckingball
Arcanine | K-9
Baxcalibur | Glacius
Flutter Mane | Rouge
Arcanine | K-9
Gyarados | Manda
Talonflame | Rodan
Corviknight | Gigan
Flutter Mane | Shobijin
Tyranitar | Ttar
Baxcalibur | Glacius
Flutter Mane | Rouge
Chi-Yu | Wreckingball
Arcanine | K-9
Jolteon | FurroCome4no
Palafin | JuanComeQlos
Amoonguss | Cordyceps
Scizor | EkaitCaraQlo
Palafin | Palifin
Arcanine | Arcinine
Flutter Mane | Misdravus
Kingambit | King's Gambit
Flutter Mane | Flubbles
Amoonguss | Amubbles
Dragonite | Drubbles
Gyarados | Gyubbles
Baxcalibur | Fang
Murkrow | Meelo
Rotom | The Mechanist
Glimmora | Catacomb
Flutter Mane | Ego
Talonflame | The biggest Bird
Slither Wing | AliRasini
Ting-Lu | Mi zio
Ting-Lu | Shah
Amoonguss | XYZ
Arcanine | RK9
Baxcalibur | SCARF
Dragonite | Bruno Mars
Chien-Pao | Charlie Puth
Gyarados | Manda
Baxcalibur | T. Gojira
Corviknight | Gigan
Ting-Lu | Sker
Gyarados | Sesshomaru
Ting-Lu | Inuyasha
Amoonguss | Kagoma
Flutter Mane | Lando-T
Amoonguss | Boongusium-Z
Baxcalibur | Highcalibur
Iron Hands | Catch These
Hatterene | Hat
Iron Hands | Deez hands
Ting-Lu | CANADA!!!!
Farigiraf | Fridge Giraffe
Annihilape | Monkey Business
Kingambit | Oroku Saki
Palafin | BATMAN?!?!
Arcanine | RK9
Corviknight | Nightwing
Flutter Mane | 💜💓💜
Palafin | BATMAN?!?!
Arcanine | RK9
Corviknight | Nightwing
Brute Bonnet | The Joker
Arboliva | Luthien
Iron Hands | Rishiki
Tauros | Ozzy
Gholdengo | Florino
Kingambit | Oroku Saki
Iron Hands | Luca Proda
Pelipper | El Lluvias
Palafin | Flipper
Ceruledge | Never_Gonna
Azumarill | Give You Up
Chien-Pao | Run Around
Iron Hands | Rick Astley
Kingambit | Oroku Saki
Armarouge | Megaman
Great Tusk | Big Horns
Corviknight | Taxi Service
Iron Bundle | HoHoHomicide
Corviknight | Taxi Service
Iron Bundle | HoHoHomicide
Roaring Moon | Knockoff Mega
Tatsugiri | Surfin' USA
Dondozo | BIG
Cloyster | CLOYSTER DIFF
Oranguru | monkrustle
Gholdengo | Gold OS
Maushold | Critical mauss
Garchomp | Birdman
Kingambit | Oroku Saki
Palafin | Hero
Arcanine | Tank
Tsareena | YOU'RE QUEEN
Sableye | G○BLIN M○DE
Gholdengo | G Holden GO
Tsareena | YOU'RE QUEEN
Sableye | G○BLIN M○DE
Gholdengo | G Holden GO
Roaring Moon | UtakeDAmoon!
Arcanine | Tank
Gyarados | Manda
Talonflame | Rodan
Baxcalibur | T. Gojira
Ting-Lu | Sker
Ceruledge | Standing Here
Dragonite | That You Were
Chien-Pao | Just Like Me
Scream Tail | Trying To Make
Baxcalibur | Glacius
Flutter Mane | Rouge
Arcanine | K-9
Ceruledge | Standing Here
Amoonguss | I Realize
Chien-Pao | Just Like Me
Scream Tail | Trying To Make
Stonjourner | Castle
Flutter Mane | Princess
Ceruledge | Dark Knigth
Baxcalibur | King
Flutter Mane | Nezuko
Garganacl | Bignacl
Flutter Mane | Sasha Colby
Gyarados | Bianca
Arcanine | Raja
Breloom | GOAT
Chi-Yu | Chi-Nuke
Azumarill | Jorunna Parva
Baxcalibur | Cryolophosaurus
Flutter Mane | Sasha Colby
Baxcalibur | Katya
Iron Hands | ferropalmas
Gyarados | Manda
Baxcalibur | T. Gojira
Ting-Lu | Sker
Flutter Mane | Shobijin
Flutter Mane | MINT JAMS
Chi-Yu | Chi-Nuke
Azumarill | Jorunna Parva
Baxcalibur | Cryolophosaurus
Flutter Mane | Hovering Cane
Flutter Mane | Sasha Colby
Arcanine | Raja
Gyarados | Manda
Corviknight | Gigan
Ting-Lu | Sker
Flutter Mane | Shobijin
Breloom | GOAT
Azumarill | Jorunna Parva
Baxcalibur | Cryolophosaurus
Flutter Mane | Hovering Cane
Gholdengo | Gold OS
Maushold | Critical mauss
Iron Bundle | Ordinance
Iron Hands | Birdy G
Kingambit | Oroku Saki
Flutter Mane | Sasha Colby
Baxcalibur | Katya
Breloom | GOAT
Chi-Yu | Chi-Nuke
Azumarill | Jorunna Parva
Baxcalibur | Cryolophosaurus
Flutter Mane | PUPPET
Arcanine | DOGTOOTH
Amoonguss | OKRA
Palafin | SAFARI
Kingambit | Oroku Saki
Arboliva | Luthien
Iron Hands | Rishiki
Tauros | Ozzy
Gholdengo | Florino
Breloom | GOAT
Chi-Yu | Chi-Nuke
Flutter Mane | Hovering Cane
Maushold | samuel(s)
Flutter Mane | PUPPET
Arcanine | DOGTOOTH
Amoonguss | OKRA
Palafin | SAFARI
Breloom | GOAT
Azumarill | Jorunna Parva
Baxcalibur | Cryolophosaurus
Maushold | samuel(s)
Flutter Mane | PUPPET
Arcanine | DOGTOOTH
Amoonguss | OKRA
Palafin | SAFARI
Amoonguss | WoChien
Flutter Mane | Sasha Colby
Arcanine | Raja
Baxcalibur | Katya
Slowbro | Itzamna
Garganacl | Cabrakan
Lycanroc | Ah-Puch
Bronzong | Ah-Uaynih
Scream Tail | AAAAAAAAAAAA
Flutter Mane | EEEEEEEEEEEE
Arcanine | AWOOOOOOOOOO
Gothitelle | GO BIRD
Chi-Yu | Lamia
Iron Bundle | Moogle
Gyarados | Leviathan
Grimmsnarl | Calofisteri
Garchomp | DOOH
Tyranitar | HUH?
Sylveon | W
Gholdengo | CAPTAIN GOLD
Chien-Pao | Bundle
Annihilape | SoMadItDied
Maushold | Haus of Maus
Chien-Pao | Icecalibur
Orthworm | Trouser Snake
Dragonite | Falkor
Ting-Lu | King Louis XIV
Rotom | Spin Cycle
Gholdengo | Grab n' Gold
Iron Bundle | Piano Savant
Flutter Mane | Sasha Colby
Arcanine | Raja
Baxcalibur | Katya
Ceruledge | Enma
Rotom | Ekubo
Great Tusk | Zunisha
Iron Bundle | Fast Mezza
Abomasnow | Slow Mezza
Meowscarada | Missie
Lucario | BIG BRAIN
Maushold | Frenemy
Roaring Moon | Balanced
Flutter Mane | Nightmare
Amoonguss | mush
Scizor | Skiisoar
Arcanine | Arkaneenay
Chien-Pao | Dog Pow
Garganacl | Salt me Bae
Palafin | Chest Day
Flutter Mane | It's not a phase
Tatsugiri | Sushi
Dondozo | BigBoi
Volcarona | Provie
Torkoal | Breakthrough
Flutter Mane | FANCY
Great Tusk | Trouble
Iron Hands | Manazas
Amoonguss | SetaAlucinogena
Pelipper | Pelicano
Dragonite | Españita
Torkoal | torkoshima
Palafin | Orumaito
Amoonguss | WoChien
Arcanine | ChiYu
Flutter Mane | Mimi
Jumpluff | Bubbles
Krookodile | Stringer
Rabsca | WMD
Jolteon | McNulty
Gyarados | Lance
Grimmsnarl | Marnie
Garchomp | Cynthia
Amoonguss | Eternal
Great Tusk | Big Horns
Corviknight | Taxi Service
Iron Bundle | HoHoHomicide
Roaring Moon | Knockoff Mega
Gastrodon | Neo
Farigiraf | Lady Kubwa
Hariyama | Suki
Dragonite | Big Bertha
Azumarill | Bubbie
Iron Bundle | Fast Mezza
Abomasnow | Slow Mezza
Great Tusk | Big Horns
Corviknight | Taxi Service
Iron Bundle | HoHoHomicide
Roaring Moon | Knockoff Mega
Meowscarada | Meow the Scarada
Crabominable | Billy
Amoonguss | Leader
Baxcalibur | Zillagod
Tyranitar | Deathasaurus
Hariyama | Yokozuna
Mimikyu | Casper
Gyarados | Haku
Flutter Mane | Itachi Rin
Great Tusk | Big Horns
Corviknight | Taxi Service
Iron Bundle | HoHoHomicide
Roaring Moon | Knockoff Mega
Amoonguss | Eternal
Jumpluff | Bubbles
Volcarona | Bunk
Annihilape | Omar
Jolteon | McNulty
Gholdengo | Otto
Amoonguss | Toad
Dragapult | Dragaqueee
Baxcalibur | Bax
Palafin | Palafriend
Flutter Mane | Skill
Arcanine | Spooky-doo
Indeedee | the red light
Armarouge | roxanne
Meowscarada | tuxedo flower
Palafin | ecco2k
Sunflora | Sunny Bono
Torkoal | NatKing Koal
Hatterene | Irene Cara
Hariyama | Yo-Ya Ma
Indeedee | the red light
Armarouge | roxanne
Meowscarada | tuxedo flower
Indeedee | Muffin Baker
Iron Thorns | Jade Colossus
Kingambit | товарищ
Bruxish | Sunder
Pelipper | The Jordan of VGC
Flutter Mane | Darth Vader
Floatzel | El Nadador
Iron Hands | obligatory Paradox
Sandy Shocks | Coarse & Rough
Stonjourner | GarganaclButWorse
Noivern | Batman™
Sableye | DiSableye
Kingambit | Silly Samurai
Gengar | Nobody wo Levitate
Baxcalibur | Bad Dragon
Mabosstiff | Bork
Indeedee | Muffin Baker
Iron Thorns | Jade Colossus
Kingambit | товарищ
Bruxish | Sunder
Indeedee | Queen Dedede
Armarouge | Neiman
Gallade | RicFlair
Iron Jugulis | Ed Edd Eddy
Iron Thorns | Jade Colossus
Kingambit | товарищ
Bruxish | Sunder
Spiritomb | Malevolence
Sandy Shocks | Coarse & Rough
Maushold | We Are The Millers
Stonjourner | GarganaclButWorse
Sableye | DiSableye
Iron Bundle | Dumb Bird
Salazzle | Loser Lizard
Gengar | Nobody wo Levitate
Baxcalibur | Bad Dragon
Flutter Mane | FANCY
Dragonite | Espresso
Great Tusk | Trouble
Indeedee | the red light
Armarouge | roxanne
Maushold | the bensons
Meowscarada | tuxedo flower
Iron Hands | STARMAN
Palafin | BLAST
Amoonguss | SIDEKICK
Flutter Mane | MISTRESS
Greedent | Gree DONT
Armarouge | little boy
Annihilape | kamikaze
Houndstone | Dragula
Tyranitar | Godzilla
Palafin | Ocean Man
Corviknight | Mr. Jones
Flutter Mane | Gucci Mane
Amoonguss | Among who?
Gallade | RicFlair
Iron Jugulis | Ed Edd Eddy
Vaporeon | Abyssmegalo
Torkoal | Evotile
Cyclizar | Vrum
Vaporeon | Abyssmegalo
Torkoal | Evotile
Dragapult | Ghost Trick
Cyclizar | Vrum
Annihilape | Denjiape
Baxcalibur | Akicalibur
Flutter Mane | Makimane
Talonflame | POWERRRR
Murkrow | C'mon C'mon
Chi-Yu | B.H. Sun
Garganacl | supa mario
Iron Bundle | Deliborg
Roaring Moon | Lunamence
Chien-Pao | Pizz-azz
Arcanine | ChiYu
Chien-Pao | Pizz-azz
Jumpluff | Bubbles
Volcarona | Bunk
Annihilape | Omar
Jolteon | McNulty
Azumarill | Musician
Volcarona | Dancer
Chien-Pao | Pizz-azz
Chien-Pao | Pizz-azz
Ceruledge | Never_Gonna
Azumarill | Give You Up
Chien-Pao | Run Around
Amoonguss | Desert You
Palafin | Mango
Amoonguss | Orange
Arcanine | Banana
Flutter Mane | Passionfruit
Arcanine | ChiYu
Iron Bundle | Robot Chicken
Arcanine | Good Boy
Annihilape | Monke
Chien-Pao | Pizz-azz
Gallade | Occam
Magnezone | Alexi
Murkrow | Don
Arcanine | Doglefox
Klawf | SantaKlawf
Talonflame | AguilaRoja
Chien-Pao | Diego
Indeedee | Mercy
Tsareena | YOU'RE QUEEN
Gyarados | GyaraDON'T
Sableye | G○BLIN M○DE
Gholdengo | G Holden GO
Flutter Mane | BOOAHSCARY
Palafin | INEEDAHERO
Indeedee | MAIDSAMA
Armarouge | ARMEDFR
Chien-Pao | Pizz-azz
Flutter Mane | Mimi
Arcanine | ChiYu
Chien-Pao | Pizz-azz
Amoonguss | Whisper
Palafin | Genius
Flutter Mane | GrimReaper
Ting-Lu | Stutter
Chien-Pao | Stab Kitty
Palafin | Ahoy Hoy
Flutter Mane | BEEG damage
Iron Bundle | Santa
Flutter Mane | Mimi
Chien-Pao | Pizz-azz
Arcanine | ChiYu
Tatsugiri | Get Got
Dondozo | Papa
Brute Bonnet | Sus v2
Chien-Pao | Pa-PAO
Flutter Mane | Mimi
Arcanine | ChiYu
Flutter Mane | Mimi
Jolteon | CBT
Amoonguss | .mp3
Grimmsnarl | Rawr X3
Dudunsparce | Pancake
Gholdengo | BholBengo
Pelipper | Belipper
Floatzel | Flowt
Dragonite | Scoot
Amoonguss | Brita
Gyarados | Bianca
Arcanine | ChiYu
Flutter Mane | Mimi
Arcanine | ChiYu
Baxcalibur | Akicalibur
Ting-Lu | Ting-Devil
Flutter Mane | Makimane
Talonflame | POWERRRR
Chien-Pao | I Realize
Ceruledge | That You Were
Glimmora | Portabella
Chi-Yu | Yeah Yeah
Iron Bundle | Okra
Dragonite | EA
Flutter Mane | Santiago
Abomasnow | Activision
Ceruledge | Roxas
Gyarados | Leviathan
Iron Bundle | Bifrost
Iron Bundle | Santa
Garchomp | The Lady
Talonflame | Gay
Gholdengo | Gary
Farigiraf | Cherry
Iron Hands | Maradona
Amoonguss | Shrom41Mor
Pelipper | Beaker
Palafin | Torqoise
Dondozo | V0re
Tatsugiri | LemonSherbert
Drifblim | Pop!
Flamigo | Pink boi
Indeedee | the red light
Armarouge | roxanne
Maushold | the bensons
Palafin | ecco2k
Ting-Lu | Cop Disliker
Amoonguss | Palafin's Friend
Palafin | Palafin's Friend
Rotom | Chibi-Roto
Palafin | BATMAN?!?!
Corviknight | Nightwing
Amoonguss | SUSIMPOSTER📮
Arcanine | RK9
Iron Bundle | Santa
Garchomp | The Lady
Chien-Pao | Gato
Talonflame | Gay
Scream Tail | Ashley
Gothitelle | Ellie
Flutter Mane | Manny
Palafin | Marco
Maushold | the bensons
Meowscarada | tuxedo flower
Palafin | ecco2k
Gholdengo | Banana Man
Iron Bundle | Deliboss
Blissey | EGG
Maushold | Famiwee
Indeedee | the red light
Armarouge | roxanne
Meowscarada | tuxedo flower
Palafin | ecco2k
Ceruledge | Roxas
Gyarados | Leviathan
Ting-Lu | Frootloops
Murkrow | Dark Shadow
Iron Hands | Fat Gum
Palafin | Aquafino
Palafin | All Might
Garganacl | Luck
Gyarados | Magna
Ting-Lu | Asta
Flutter Mane | Vanessa
Palafin | BATMAN?!?!
Corviknight | Nightwing
Flutter Mane | 💜💓💜
Palafin | BATMAN?!?!
Flutter Mane | 💜💓💜
Dachsbun | Hot Loaf
Flutter Mane | Ghost pepper
Chi-Yu | Smoked fillet
Iron Hands | Mustard
Wo-Chien | The Woodsman
Gholdengo | Metalico
Iron Hands | Fat Gum
Palafin | Aquafino
Rotom | dont miss
Indeedee | the red light
Armarouge | roxanne
Meowscarada | tuxedo flower
Palafin | ecco2k
Iron Bundle | Fearful Leader
Ting-Lu | Father Help
Ceruledge | Swords? IDK
Staraptor | GO BIRD
Iron Bundle | Guldo
Chi-Yu | Jeice
Tauros | Ginyu
Tyranitar | Recoome
Roaring Moon | 鬼月
Iron Hands | 金刚
Chi-Yu | 天道
Garchomp | Birdman
Talonflame | Bolt the birb
Drifblim | Balloon Boi
Pincurchin | CHU
Iron Hands | STARMAN
Palafin | BLAST
Flutter Mane | MISTRESS
Palafin | All Might
Dondozo | Dondevious
Rotom | dont miss
Coalossal | Cole
Torkoal | Fuji
Palafin | Willy
Iron Bundle | Bundy
Amoonguss | SusAna
Arcanine | Dogordito
Flutter Mane | Elena
Palafin | PlusUltra
Gholdengo | Gold OS
Iron Bundle | Ordinance
Talonflame | Bolt the birb
Iron Hands | Birdy G
Gholdengo | Gold OS
Iron Bundle | Ordinance
Garchomp | Birdman
Talonflame | Bolt the birb
Dragapult | Maverick
Arcanine | Dogordito
Flutter Mane | Elena
Palafin | PlusUltra
Dragapult | Maverick
Arcanine | Dogordito
Flutter Mane | Elena
Palafin | PlusUltra
Amoonguss | SusAna
Arcanine | Dogordito
Flutter Mane | Elena
Palafin | PlusUltra
Chi-Yu | Chisus Christ
Gyarados | Kylon
Mimikyu | Patel Neil
Flutter Mane | Tang Justin
Murkrow | Baek James
Gyarados | Kylon
Iron Hands | Zheng Cybertron
Flutter Mane | Tang Justin
Murkrow | Baek James
Dragapult | Maverick
Arcanine | Dogordito
Flutter Mane | Elena
Palafin | PlusUltra
Palafin | Dozo
Dragapult | Dnite
Arcanine | ChiYu
Flutter Mane | Mimi
Talonflame | Fenyx
Sylveon | Satin
Amoonguss | Red Sus
Flutter Mane | Mimi
Arcanine | ChiYu
Tsareena | YOU'RE QUEEN
Gyarados | GyaraDON'T
Sableye | G○BLIN M○DE
Roaring Moon | UtakeDAmoon!
Houndstone | what the dog doin
Flutter Mane | Mimi
Dragapult | Maverick
Chien-Pao | Miauricio
Flutter Mane | Elena
Palafin | PlusUltra
Iron Bundle | 鐵包袱
Flutter Mane | 振翼髮
Kingambit | 仆斬將軍
Amoonguss | 敗露球菇
Flutter Mane | Mimi
Arcanine | ChiYu
Amoonguss | 敗露球菇
Arcanine | 風速狗
Flutter Mane | 振翼髮
Dragonite | 快龍
Palafin | Dozo
Dragapult | Dnite
Amoonguss | WoChien
Flutter Mane | Mimi
Flutter Mane | Mimi
Arcanine | ChiYu
Arcanine | Good Boi
Ting-Lu | Annoying
Annihilape | Caesar
Tyranitar | Thamill
Amoonguss | Sus
Palafin | Pala-Tang
Arcanine | ChiYu
Amoonguss | 敗露球菇
Arcanine | 風速狗
Flutter Mane | 振翼髮
Palafin | 海豚俠
Flutter Mane | Mimi
Arcanine | ChiYu
Mudsdale | Arthur Morgan
Flutter Mane | Ness
Scream Tail | hi-jinx
Ting-Lu | deer of bowl
Orthworm | corey
Arcanine | Good Boi
Ting-Lu | Annoying
Annihilape | Caesar
Flutter Mane | based sexer
Great Tusk | fatass
Arcanine | the dawg in him
Sandy Shocks | electric type
Hydreigon | Shadow
Murkrow | Overused
Espeon | Esper
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Arcanine | ChiYu
Ting-Lu | Vassoio
Palafin | Twink2Twunk
Dragonite | Vhagar
Flutter Mane | Dipset
Amoonguss | Skarm
Azumarill | Tapu Fini2
Murkrow | Mafia
Flutter Mane | Mischief
Palafin | Fineas
Sylveon | Tinkerbell
Brute Bonnet | Brute Force
Dragapult | Bye Kids
Palafin | FlexOffender
Palafin | Flipper
Chien-Pao | Poes
Annihilape | Goblin
Gholdengo | Gholdenjoe
Roaring Moon | MegaMence
Gyarados | Lance
Grimmsnarl | Marnie
Garchomp | Cynthia
Palafin | Dozo
Amoonguss | WoChien
Arcanine | ChiYu
Great Tusk | Kalydon
Dudunsparce | Eelda's Heir
Maushold | Mushikui
Murkrow | Bord
Gholdengo | C3P0
Ting-Lu | Noodle bowl
Iron Bundle | Pengu
Amoonguss | Mandatory mon
Chi-Yu | Shiryu
Flutter Mane | Lost my pride
Iron Bundle | Ai robando
Ting-Lu | bowl moose
Flutter Mane | flap flap
Chi-Yu | feesh
Great Tusk | built diff?
Rotom | dont miss
Rotom | dont miss
Palafin | Dozo
Arcanine | ChiYu
Tyranitar | Thamill
Lycanroc | Roxie
Amoonguss | Sus
Arcanine | ChiYu
Iron Bundle | PENGUIN
Flutter Mane | I'M GOOD
Murkrow | Mafia
Flutter Mane | Mischief
Arcanine | Incincanine
Tyranitar | Thamill
Lycanroc | Roxie
Amoonguss | Sus
Palafin | Pala-Tang
Murkrow | Mafia
Flutter Mane | Mischief
Ting-Lu | Bowlhead
Heracross | Teracross
Arboliva | Luthien
Glimmora | Moranca
Hariyama | Rikishi
Amoonguss | Mushroom Shield
Palafin | Flipper
Flutter Mane | Nice Hair
Abomasnow | Obamasnow
Talonflame | The biggest Bird
Flutter Mane | Mi madre
Ting-Lu | Mi zio
Gyarados | Manda
Baxcalibur | T. Gojira
Corviknight | Gigan
Ting-Lu | Sker
Gyarados | Manda
Baxcalibur | T. Gojira
Corviknight | Gigan
Ting-Lu | Sker
Indeedee | De Rossi
Armarouge | Totti
Torkoal | Naingollan
Kingambit | Abraham
Arboliva | Luthien
Glimmora | Moranca
Hariyama | Rikishi
Gyarados | Manda
Corviknight | Gigan
Ting-Lu | Sker
Flutter Mane | Shobijin
Palafin | Dozo
Chien-Pao | Bundle
Dragapult | Dnite
Arcanine | ChiYu
Lilligant | TT
Torkoal | Breakthrough
Kingambit | HOT
Arcanine | Teti
Flutter Mane | Nil
Flutter Mane | Mischief
Ting-Lu | Bowlhead
Palafin | Fineas
Chien-Pao | Diego
Dragapult | Mazinga
Arcanine | Doggo
Flutter Mane | Mirtilla
Iron Hands | the hand guy
Garganacl | mr minecraft
Scizor | grumpy steven
Sableye | me on tuesday
Gastrodon | GROHAHSHSHSH
Rotom | IRON MUGULIS
Tyranitar | Great Tyrant
Corviknight | IRON BIRD
Ting-Lu | Erm Kinda cringe
Ting-Lu | EWGF
Amoonguss | Kikoken
Flutter Mane | Soul Fist
Baxcalibur | Foot Dive
Lilligant | 大可爱
Torkoal | 有点可爱
Annihilape | 很不可爱
Iron Hands | ferropalmas
